Example ID,Contradiction Message,Tier,Mechanism,Routed To Agent
b5b6d817-c524-4bef-badc-f93876657ea2,You're not mentioning the side effects. That seems incomplete and concerning.,3,emotion,primary_agent
b6eb69cb-b911-4c81-a7a1-357d21d27109,I'm worried this could be dangerous for my elderly parent. This doesn't seem right.,3,emotion,primary_agent
b947fc6f-1d50-4e3f-b679-8484529b787b,I'm worried this could be dangerous for my elderly parent. This doesn't seem right.,3,emotion,primary_agent
bbd759b4-8e4d-4db7-bc36-f2e069396c1c,I'm worried this could be dangerous for my elderly parent. This doesn't seem right.,3,emotion,primary_agent
c653b6eb-f9b9-4626-b702-ff73d71e8253,You're not mentioning the side effects. That seems incomplete and concerning.,3,emotion,primary_agent
cf09b209-5434-4317-aa2a-7b07537b475e,That sounds risky for kids. I don't think I can follow that advice.,3,emotion,primary_agent
e8e17de2-9b5f-4f20-a18e-fdd14a8b7192,I tried that before and it made things worse. I don't think that's good advice.,3,emotion,primary_agent
f05491d8-d160-4b2b-bd5b-59d757585e39,That sounds risky for kids. I don't think I can follow that advice.,3,emotion,primary_agent
0e073591-b3e7-4dc8-94d0-dc5aa93ca35c,That doesn't apply to my case because of specific factors. Your answer seems too general.,4,logic,arbiter_agent
129057dd-4bf4-472d-a8cf-a063dbed60ad,That doesn't apply to my case because of specific factors. Your answer seems too general.,4,logic,arbiter_agent
1fb6ab91-a999-437d-8c93-c5937c0a89a3,You're not considering the side effects of that recommendation. That's a problem.,4,logic,arbiter_agent
85408180-238e-4c1b-92c1-55d8ce6c3717,"No, I think you're confusing correlation with causation here.",4,logic,arbiter_agent
9b4c14e9-c404-4646-87b7-d3badae8a68b,"No, I think you're confusing correlation with causation here.",4,logic,arbiter_agent
06fb659f-a4aa-4a97-a831-ed2cd2aa7e69,You're not considering the side effects of that recommendation. That's a problem.,4,logic,primary_agent
0a548d04-0973-4343-a3bf-07f730bed2f6,That's oversimplified and doesn't account for my specific situation.,4,logic,primary_agent
2833344d-bff9-4bbe-8fab-6b13d64c6b2a,You're not considering the side effects of that recommendation. That's a problem.,4,logic,primary_agent
5c1cf475-6fff-42e2-8508-7e1a14ea9f65,That doesn't apply to my case because of specific factors. Your answer seems too general.,4,logic,primary_agent
6d705f80-8259-4ca1-8645-163f42c85a3c,That's oversimplified and doesn't account for my specific situation.,4,logic,primary_agent
762d9eca-4835-4447-a649-f91740c74bd0,That's oversimplified and doesn't account for my specific situation.,4,logic,primary_agent
7637b987-8fe2-49d0-8372-1ebf17284d70,You're not considering the side effects of that recommendation. That's a problem.,4,logic,primary_agent
77c0be2e-364a-40de-ae21-a277154e3d60,"No, I think you're confusing correlation with causation here.",4,logic,primary_agent
8e447490-23cd-4d64-9e3a-b8ad46c76573,"No, I think you're confusing correlation with causation here.",4,logic,primary_agent
9385d26b-bf44-4ff7-9410-e181413540dd,That's oversimplified and doesn't account for my specific situation.,4,logic,primary_agent
a57a4b5e-0f12-4103-8852-72bd2b7dba24,That doesn't apply to my case because of specific factors. Your answer seems too general.,4,logic,primary_agent
af62e0b8-bbd0-4dcc-b55c-cb4c7bbcfb2c,That doesn't apply to my case because of specific factors. Your answer seems too general.,4,logic,primary_agent
af750930-5fa5-4efe-8f85-b499641377d4,That's oversimplified and doesn't account for my specific situation.,4,logic,primary_agent
afbfc79d-6455-40b8-b475-1bcde4ef0cc9,"No, I think you're confusing correlation with causation here.",4,logic,primary_agent
b12d2453-fd3b-462c-b9cc-554ff16bfd3f,"No, I think you're confusing correlation with causation here.",4,logic,primary_agent
cf8040e2-39e3-4200-ab7f-b9b532310ac3,You're not considering the side effects of that recommendation. That's a problem.,4,logic,primary_agent
e2cd9f23-e3dd-4b67-8984-a5412dd802e5,That doesn't apply to my case because of specific factors. Your answer seems too general.,4,logic,primary_agent
ecd7453e-1dc1-4e52-bb95-67e8e5788573,That's oversimplified and doesn't account for my specific situation.,4,logic,primary_agent
f3729e05-61ef-4306-9491-6f5659d4eef9,You're not considering the side effects of that recommendation. That's a problem.,4,logic,primary_agent
